Data type;Azimuth [0.360);Dip [0.90];Dip direction;Rake [0.90];Strike direction;Striation trend [0.360);Sense of mouvement;Stylolite Teeth trend [0.360);Stylolite Teeth plunge [0.90]
Extension Fracture;167.4805024;90;;;;;;;
Extension Fracture;167.4805024;90;;;;;;;
Extension Fracture;167.4810663;90;;;;;;;
Extension Fracture;167.4810663;90;;;;;;;
Extension Fracture;198.4412701;90;;;;;;;
Extension Fracture;198.4412701;90;;;;;;;
Extension Fracture;160.7090648;90;;;;;;;
Extension Fracture;160.2664819;90;;;;;;;
Extension Fracture;160.2664819;90;;;;;;;
Extension Fracture;160.7090648;90;;;;;;;
Extension Fracture;165.9626281;90;;;;;;;
Extension Fracture;165.9626281;90;;;;;;;
Extension Fracture;165.9626281;90;;;;;;;
Extension Fracture;165.9626281;90;;;;;;;
Extension Fracture;323.6738204;90;;;;;;;
Extension Fracture;323.655616;90;;;;;;;
Extension Fracture;323.655616;90;;;;;;;
Extension Fracture;323.6738204;90;;;;;;;
Extension Fracture;147.015703;90;;;;;;;
Extension Fracture;147.015703;90;;;;;;;
Extension Fracture;147.0490105;90;;;;;;;
Extension Fracture;147.0490105;90;;;;;;;
Extension Fracture;133.6785767;90;;;;;;;
Extension Fracture;133.6785767;90;;;;;;;
Extension Fracture;170.2005133;90;;;;;;;
Extension Fracture;170.2005563;90;;;;;;;
Extension Fracture;170.2005563;90;;;;;;;
Extension Fracture;170.2005133;90;;;;;;;
Extension Fracture;172.3476621;90;;;;;;;
Extension Fracture;169.623922;90;;;;;;;
Extension Fracture;171.0907603;90;;;;;;;
Extension Fracture;171.0907603;90;;;;;;;
Extension Fracture;172.3476621;90;;;;;;;
Extension Fracture;169.623922;90;;;;;;;
Extension Fracture;164.2717815;90;;;;;;;
Extension Fracture;164.2142454;90;;;;;;;
Extension Fracture;164.2142454;90;;;;;;;
Extension Fracture;164.2717815;90;;;;;;;
Extension Fracture;161.9487345;90;;;;;;;
Extension Fracture;161.9863065;90;;;;;;;
Extension Fracture;161.9863065;90;;;;;;;
Extension Fracture;161.9487345;90;;;;;;;
Extension Fracture;157.8049603;90;;;;;;;
Extension Fracture;157.7816961;90;;;;;;;
Extension Fracture;157.8049603;90;;;;;;;
Extension Fracture;157.7816961;90;;;;;;;
Extension Fracture;159.6054253;90;;;;;;;
Extension Fracture;159.5650589;90;;;;;;;
Extension Fracture;159.5650589;90;;;;;;;
Extension Fracture;159.6054253;90;;;;;;;
Extension Fracture;153.8609656;90;;;;;;;
Extension Fracture;153.8609656;90;;;;;;;
Extension Fracture;158.9407846;90;;;;;;;
Extension Fracture;158.953187;90;;;;;;;
Extension Fracture;158.953187;90;;;;;;;
Extension Fracture;158.9407846;90;;;;;;;
Extension Fracture;365.8050326;90;;;;;;;
Extension Fracture;365.8050326;90;;;;;;;
Extension Fracture;321.0614545;90;;;;;;;
